"FieldName","DataType","NullOption","Description"
"OBJECTID","OID","Not Null","Unique identifier for the record"
"FeatureID","Long","Nullable","Feature identifier"
"ParkingSpaceId","String","Nullable","This value specifies the metered parking space"
"Region","String","Nullable","Region name in English"
"Region_tc","String","Nullable","Region name in Traditional Chinese"
"Region_sc","String","Nullable","Region name in Simplified Chinese"
"District","String","Nullable","District name in English"
"District_tc","String","Nullable","District name in Traditional Chinese"
"District_sc","String","Nullable","District name in Simplified Chinese"
"SubDistrict","String","Nullable","Sub-District name in English"
"SubDistrict_tc","String","Nullable","Sub-District name in Traditional Chinese"
"SubDistrict_sc","String","Nullable","Sub-District name in Simplified Chinese"
"Street","String","Nullable","Street name in English"
"Street_tc","String","Nullable","Street name in Traditional Chinese"
"Street_sc","String","Nullable","Street name in Simplified Chinese"
"SectionOfStreet","String","Nullable","Section of the Street in English where the parking meter is installed"
"SectionOfStreet_tc","String","Nullable","Section of the Street in Traditional Chinese where installed"
"SectionOfStreet_sc","String","Nullable","Section of the Street in Simplified Chinese where installed"
"VehicleType","String","Nullable","Type of vehicle of the parking space"
"Occupancy_Status","String","Nullable","Real-time occupancy status"
"Shape","Geometry","Not Null","Geometry (coordinates) for the location of the parking space"